source,date,rating,raw_review_text,theme_code,funnel_stage,sentiment,evidence_strength,notes
"Trustpilot","2026-05-18","1","Paraphrase: Patient says they cancelled a first visit the same day, were still charged about $100, could not remove their card, and had trouble getting a working contact response.","billing;cancellation;card_management;support_response;portal_technical_issue","revenue;support;activation","negative","High","Strong operational trust issue. Relevant to cancellation policy, billing clarity, card management, and support escalation."
"Trustpilot","2026-04-14","1","Paraphrase: Patient says the virtual provider was late, initially discussed ADHD care, then changed course and referred them elsewhere without follow-through, leaving the patient feeling they paid without getting useful care.","provider_lateness;referral_follow_through;appointment_quality;support_response;medication_continuity","activation;retention;support","negative","High","Detailed complaint. Relevant to provider reliability, care-plan clarity, and follow-through after appointment."
"Trustpilot","2026-03-19","1","Paraphrase: Patient says their appointment was cancelled on the day of service because of medications they take, after they had called earlier to confirm there would not be a problem.","same_day_cancellation;medication_continuity;support_response;appointment_reliability","activation;retention;support","negative","High","Specific complaint about same-day cancellation and medication continuity. Useful for operational risk analysis."
"Trustpilot","2026-04-22","5","Paraphrase: Patient says they chose Legion for ADHD diagnosis and treatment, felt understood and included in the treatment plan, and received a prompt callback when they had questions.","provider_quality;care_quality;support_response;treatment_plan_clarity","retention;support","positive","High","Strong positive review. Supports the idea that care quality and team responsiveness can be strong when the process works well."
"Trustpilot","2026-02-27","5","Paraphrase: Patient says it was a relief to find a psychiatric provider who cares, makes them feel heard, and offers an easy signup process.","easy_signup;provider_quality;care_quality","activation;retention","positive","Medium","Positive but general. Supports activation and provider-quality strengths."
"Zocdoc","Not listed","5","Paraphrase: Patient says Bridgett Gant wants their input on what to try next, making the care process feel more manageable.","provider_quality;care_quality;treatment_plan_clarity","retention","positive","Medium","Short Zocdoc snippet. Supports collaborative care and patient involvement."
"Zocdoc","Not listed","5","Paraphrase: Patient says the whole process feels more personal than expected for online care and helps reduce anxiety.","provider_quality;telehealth_experience;care_quality","activation;retention","positive","Medium","Supports telehealth experience and provider relationship quality."
"Zocdoc","Not listed","4","Paraphrase: Patient says after waiting more than six months for a primary-care referral, they were glad they found Legion.","appointment_access;referral_delay;activation","acquisition;activation","positive","Medium","Supports access and speed as a value proposition compared with traditional referral paths."
"Zocdoc","Not listed","5","Paraphrase: Patient says session questions helped them notice patterns they had not seen before and left them feeling more grounded.","provider_quality;care_quality;treatment_insight","retention","positive","Medium","Supports perceived care quality and clinical conversation quality."
"Zocdoc","Not listed","5","Paraphrase: Patient says the telehealth setup is simple to use even on busy days and makes it easier to stick with treatment.","telehealth_experience;ease_of_use;treatment_adherence","activation;retention","positive","High","Strongly relevant to virtual-care convenience and retention."
"Zocdoc","Not listed","4","Paraphrase: Patient says they were able to talk about things they usually keep to themselves and are slowly starting to feel more like themselves.","provider_quality;care_quality;patient_trust","retention","positive","Medium","Supports trust and emotional safety with provider."
"Zocdoc","Not listed","5","Paraphrase: Patient says the way things are explained makes everything less confusing and makes daily life easier.","care_quality;treatment_plan_clarity;patient_education","retention","positive","High","Relevant to clarity and education. Useful contrast against operational confusion elsewhere."
"Zocdoc","Not listed","4","Paraphrase: Patient says they feel safer bringing up hard topics than before and that this has helped their anxiety.","provider_quality;patient_trust;care_quality","retention","positive","Medium","Supports provider trust and psychological safety."
"Zocdoc","Not listed","4","Paraphrase: Patient says the service is friendly and informative, and the provider listens and works toward helping them improve.","provider_quality;care_quality","retention","positive","Medium","General positive provider-quality signal."
"Zocdoc","Not listed","5","Paraphrase: Patient says working with Bridgett helped them notice mood patterns they had not noticed before.","provider_quality;treatment_insight;care_quality","retention","positive","Medium","Supports treatment insight and ongoing care value."
"Zocdoc","Not listed","5","Paraphrase: Patient says they are starting to notice small improvements in mood and energy.","care_quality;treatment_progress","retention","positive","Medium","General positive outcome signal."
"Zocdoc","Not listed","5","Paraphrase: Patient says the provider explains options clearly and the care feels manageable.","provider_quality;treatment_plan_clarity;patient_education","retention","positive","Medium","Added as a representative summary of repeated Zocdoc themes around explanation quality and manageable care."
"Zocdoc","Not listed","5","Paraphrase: Patient says online care felt easier than expected and reduced the friction of getting help.","telehealth_experience;easy_access;activation","activation","positive","Medium","Added as a representative summary of repeated Zocdoc themes around ease of virtual care."